name,description,price,stock,category,image_url,is_featured
MSR Hubba Hubba NX 2-Person Tent,"Three-season backpacking tent, 3.4 lb minimum weight.",495,11,Sports,"https://loremflickr.com/600/600/tent,camping/all?lock=452",false
Moroccanoil Treatment (Refurbished),"Argan oil-infused hair treatment, smoothes and shines. Certified refurbished — same warranty, lower price.",39,39,Beauty,"https://loremflickr.com/600/600/moroccanoil,haircare/all?lock=477",false
Apple iPad Pro 13 Bundle,"M4 chip, 13-inch Ultra Retina XDR Tandem OLED, 5G optional. Comes with extra accessories and extended care.",1762,52,Tablets,"https://loremflickr.com/600/600/ipad,pro,tablet/all?lock=96",false
Fujifilm X-T5,"40MP X-Trans, classic dials, 6.2K video, in-body stabilization.",1940,27,Cameras,"https://loremflickr.com/600/600/fujifilm,camera,mirrorless/all?lock=169",false
Drunk Elephant C-Firma Day Serum,Vitamin C complex serum with ferulic acid.,86,37,Beauty,"https://loremflickr.com/600/600/serum,skincare/all?lock=471",false
Schwinn IC4 Indoor Cycle Bundle,Magnetic resistance indoor bike with dual-sided pedals. Comes with extra accessories and extended care.,1113,54,Sports,"https://loremflickr.com/600/600/schwinn,bike,fitness/all?lock=440",false
Sapiens by Yuval Noah Harari Bundle,"A brief history of humankind, from the Stone Age to AI. Comes with extra accessories and extended care.",24,25,Books,"https://loremflickr.com/600/600/book,history/all?lock=501",false
Google Nest Hub 2nd Gen,"Sleep sensing, ambient EQ, hands-free Google Assistant.",90,44,Smart Home,"https://loremflickr.com/600/600/googlenest,smarthome/all?lock=246",true
Nespresso Vertuo Plus Bundle,"Single-touch brewer, five cup sizes, Centrifusion tech. Comes with extra accessories and extended care.",226,52,Home & Kitchen,"https://loremflickr.com/600/600/nespresso,coffee,kitchen/all?lock=397",false
Peloton Bike+ (Refurbished),"Rotating HD touchscreen, auto-resistance, Apple GymKit. Certified refurbished — same warranty, lower price.",2223,8,Sports,"https://loremflickr.com/600/600/peloton,bike,fitness/all?lock=437",false
Apple MacBook Air 13,"Apple Silicon M2, 8GB RAM, 256GB SSD, 13.6-inch Liquid Retina display.",1164,2,Laptops,"https://loremflickr.com/600/600/macbook,air,laptop/all?lock=1",false
Quilted Puffer Jacket (Refurbished),"650-fill power down, water-resistant shell, packable. Certified refurbished — same warranty, lower price.",117,12,Outerwear,"https://loremflickr.com/600/600/puffer,jacket,winter/all?lock=308",false
Microsoft Xbox Series X (Refurbished),"12 TFLOPS, true 4K gaming, Quick Resume. Certified refurbished — same warranty, lower price.",361,51,Gaming,"https://loremflickr.com/600/600/xbox,console,gaming/all?lock=187",false
Fujifilm X100V,Beloved compact with fixed 23mm f/2 lens and hybrid viewfinder.,1553,4,Cameras,"https://loremflickr.com/600/600/fujifilm,camera/all?lock=172",false
Leather Bifold Wallet,"Full-grain leather, six card slots, slim profile.",66,2,Fashion Accessories,"https://loremflickr.com/600/600/wallet,leather/all?lock=370",false
Logitech Brio 4K Webcam,4K Ultra HD webcam with HDR and 5x zoom.,177,23,Accessories,"https://loremflickr.com/600/600/logitech,webcam/all?lock=237",false
Stanley Quencher 40oz,Insulated tumbler with handle and reusable straw.,49,46,Home & Kitchen,"https://loremflickr.com/600/600/stanley,tumbler,drinkware/all?lock=409",false
Tomorrow and Tomorrow and Tomorrow,"A novel about friendship, art, and video games.",19,9,Books,"https://loremflickr.com/600/600/book,fiction/all?lock=513",false
Apple Magic Mouse (Refurbished),"Multi-touch surface, rechargeable, USB-C. Certified refurbished — same warranty, lower price.",70,24,Accessories,"https://loremflickr.com/600/600/apple,mouse/all?lock=213",false
Hawaiian Camp Shirt,"Open camp collar, tropical print, lightweight rayon.",51,3,Shirts,"https://loremflickr.com/600/600/hawaiian,shirt,menswear/all?lock=279",false
DJI Osmo Action 4,"1/1.3-inch sensor, magnetic quick-release, 4K 120p.",369,21,Cameras,"https://loremflickr.com/600/600/dji,action,camera/all?lock=175",false
Le Creuset Dutch Oven 5.5qt,"Enameled cast iron, even heat retention, lifetime warranty.",461,28,Home & Kitchen,"https://loremflickr.com/600/600/lecreuset,dutchoven,kitchen/all?lock=401",false
La Roche-Posay Anthelios SPF60,"Daily face sunscreen, Cell-Ox Shield UV protection.",31,24,Beauty,"https://loremflickr.com/600/600/sunscreen,skincare/all?lock=467",false
Manscaped Lawn Mower 4.0,"SkinSafe trimmer head, LED spotlight, waterproof.",87,164,Beauty,"https://loremflickr.com/600/600/manscaped,grooming/all?lock=488",false
Nike Dunk Low,Heritage hoops style with low-cut padded collar.,109,12,Footwear,"https://loremflickr.com/600/600/nike,dunk,sneakers/all?lock=329",false
Dell XPS 15,"Core i7-13700H, RTX 4060, 15.6-inch 3.5K OLED, premium creator laptop.",2383,29,Laptops,"https://loremflickr.com/600/600/dell,xps15,laptop/all?lock=10",true
Samsung Galaxy S24 Ultra,"Snapdragon 8 Gen 3, 200MP camera, built-in S Pen, titanium frame.",1301,161,Phones,"https://loremflickr.com/600/600/samsung,galaxy,smartphone/all?lock=59",false
Sonos Era 300,"Spatial audio with Dolby Atmos, WiFi 6, Trueplay tuning.",530,4,Audio,"https://loremflickr.com/600/600/sonos,speaker/all?lock=129",false
Vitamix 5200 Blender Bundle,"Professional-grade blender, 64oz container, 7-year warranty. Comes with extra accessories and extended care.",616,18,Home & Kitchen,"https://loremflickr.com/600/600/vitamix,blender,kitchen/all?lock=387",false
Clean Code by Robert Martin Bundle,A handbook of agile software craftsmanship. Comes with extra accessories and extended care.,35,23,Books,"https://loremflickr.com/600/600/book,programming/all?lock=507",false
Apple MacBook Pro 16 (Refurbished),"M3 Max, 36GB RAM, 1TB SSD, 16-inch XDR display for pro workflows. Certified refurbished — same warranty, lower price.",2829,5,Laptops,"https://loremflickr.com/600/600/macbook,pro,laptop/all?lock=5",false
Ring Video Doorbell Pro 2,"Head-to-toe HD+ video, 3D motion detection.",263,47,Smart Home,"https://loremflickr.com/600/600/ring,doorbell,smarthome/all?lock=254",false
Dell Inspiron 15 (Refurbished),"Reliable everyday laptop with Core i5, 8GB RAM, 512GB SSD. Certified refurbished — same warranty, lower price.",549,17,Laptops,"https://loremflickr.com/600/600/dell,inspiron,laptop/all?lock=13",false
Selvedge Raw Denim Jeans (Refurbished),"14oz Japanese selvedge denim, button-fly, indigo dye. Certified refurbished — same warranty, lower price.",161,25,Pants,"https://loremflickr.com/600/600/denim,jeans/all?lock=287",false
Dell Inspiron 15,"Reliable everyday laptop with Core i5, 8GB RAM, 512GB SSD.",704,49,Laptops,"https://loremflickr.com/600/600/dell,inspiron,laptop/all?lock=11",false
Acer Predator Helios 16,"Hardcore gaming rig, Intel Core i9, RTX 4080, mini-LED 250Hz display.",1712,16,Laptops,"https://loremflickr.com/600/600/acer,predator,gaming,laptop/all?lock=38",true
Google Nest Mini,Compact smart speaker with 360-degree sound.,39,46,Smart Home,"https://loremflickr.com/600/600/googlenest,smarthome/all?lock=249",false
Performance Workout Tee,"Moisture-wicking, four-way stretch, anti-odor finish.",42,48,Shirts,"https://loremflickr.com/600/600/athletic,tshirt,sportswear/all?lock=274",false
Crocs Classic Clog (Refurbished),"Lightweight Croslite clog, ventilation ports, pivoting strap. Certified refurbished — same warranty, lower price.",42,11,Footwear,"https://loremflickr.com/600/600/crocs,clog/all?lock=368",false
Wool Topcoat,"Wool-cashmere blend, knee-length, single-breasted notch lapel.",249,0,Outerwear,"https://loremflickr.com/600/600/topcoat,coat,menswear/all?lock=309",false
Nintendo Switch OLED Bundle,"7-inch vibrant OLED screen, enhanced audio, 64GB storage. Comes with extra accessories and extended care.",416,16,Gaming,"https://loremflickr.com/600/600/nintendo,switch,console/all?lock=193",false
Aviator Sunglasses,"Metal frame, polarized lenses, UV400 protection.",154,20,Fashion Accessories,"https://loremflickr.com/600/600/aviator,sunglasses/all?lock=375",false
LEGO Technic Bugatti Chiron,"Premium 3,599-piece supercar build with working gearbox.",357,48,Toys,"https://loremflickr.com/600/600/lego,technic,toy/all?lock=525",false
Google Nest Hub 2nd Gen (Refurbished),"Sleep sensing, ambient EQ, hands-free Google Assistant. Certified refurbished — same warranty, lower price.",70,40,Smart Home,"https://loremflickr.com/600/600/googlenest,smarthome/all?lock=247",false
Garmin Fenix 7 Bundle,"Premium multisport GPS watch, solar charging, MIP display. Comes with extra accessories and extended care.",974,32,Wearables,"https://loremflickr.com/600/600/garmin,watch,fitness/all?lock=147",false
Apple Watch Series 9,"S9 SiP, Double Tap gesture, always-on Retina display.",494,40,Wearables,"https://loremflickr.com/600/600/apple,watch,smartwatch/all?lock=135",true
Vans Old Skool,Iconic side-stripe canvas/suede skate shoe.,83,197,Footwear,"https://loremflickr.com/600/600/vans,oldskool,sneakers/all?lock=344",false
CalDigit TS4 Thunderbolt 4 Dock,18-port Thunderbolt 4 dock for pro workflows.,428,3,Accessories,"https://loremflickr.com/600/600/thunderbolt,dock,usb/all?lock=227",false
Sonos Era 300 Bundle,"Spatial audio with Dolby Atmos, WiFi 6, Trueplay tuning. Comes with extra accessories and extended care.",609,3,Audio,"https://loremflickr.com/600/600/sonos,speaker/all?lock=131",false
Canon EOS R50,Compact APS-C mirrorless for content creators.,809,145,Cameras,"https://loremflickr.com/600/600/canon,camera,mirrorless/all?lock=164",false
